"wave"	"priority_score"	"subject_bucket"	"course_id"	"course_name"	"course_session_id"	"session_order"	"session_title"	"pdf_count"	"sample_pdf"	"current_question_count"	"target_total_questions"	"target_mcq"	"target_short_answer"	"target_long_answer"	"target_fill_in_blank"	"image_required"	"target_questions_with_images"	"image_root_path"	"chapter_json_output"	"qa_status"	"publish_status"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1039"	"1"	"Chapter 1: ???? ?? (?????)"	"1"	"1_chalta_chal_kavita.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1039.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1040"	"2"	"Chapter 2: ????? ???? (?????? ??????)"	"1"	"2_sahasi_neelu_sahasik_prasang.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1040.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1041"	"3"	"Chapter 3: ???? ?? ????? (???? ??????)"	"1"	"3_bakri_ka_aparadh_rochak_prasang.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1041.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1042"	"4"	"Chapter 4: ???????? ???? (?????)"	"1"	"4_swacchata_mahaan_kavita.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1042.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1043"	"5"	"Chapter 5: ????? (?????)"	"1"	"5_uphaar_kahani.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1043.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1044"	"6"	"Chapter 6: ????? (?????)"	"1"	"6_eidgah_kahani.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1044.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1045"	"7"	"Chapter 7: ???? ?? ?????? (?????)"	"1"	"7_diye_ka_abimaan_kavita.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1045.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1046"	"8"	"Chapter 8: ????? ???? (?????)"	"1"	"8_sachcha_saboot_kahani.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1046.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1047"	"9"	"Chapter 9: ???? (?????)"	"1"	"9_jharna_kavita.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1047.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1048"	"10"	"Chapter 10: ???????? (????)"	"1"	"10_hidayatein_patra.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1048.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1049"	"11"	"Chapter 11: ???????? ?? ??? (??????)"	"1"	"11_mount_abu_ki_sair_paryatan.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1049.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1050"	"12"	"Chapter 12: ???? ?? ?????? (?????)"	"1"	"12_chand_ka_kutta_kavita.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1050.json"	"PENDING"	"PENDING"
