"wave"	"priority_score"	"subject_bucket"	"course_id"	"course_name"	"course_session_id"	"session_order"	"session_title"	"pdf_count"	"sample_pdf"	"current_question_count"	"target_total_questions"	"target_mcq"	"target_short_answer"	"target_long_answer"	"target_fill_in_blank"	"image_required"	"target_questions_with_images"	"image_root_path"	"chapter_json_output"	"qa_status"	"publish_status"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"959"	"26"	"Chapter 26: Activities"	"1"	"26_activities.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_959.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"1848"	"27"	"Miscellaneous Session"	"1"	"miscellaneous_session.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_1848.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1975"	"1"	"Chapter 1: Integers"	"1"	"01_integers.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1975.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1976"	"2"	"Chapter 2: Fractions"	"1"	"02_fractions.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1976.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1977"	"3"	"Chapter 3: Decimals"	"1"	"03_decimals.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1977.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1978"	"4"	"Chapter 4: Rational Numbers"	"1"	"04_rational_numbers.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1978.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1979"	"5"	"Chapter 5: Exponents"	"1"	"05_exponents.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1979.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1980"	"6"	"Chapter 6: Algebraic Expressions"	"1"	"06_algebraic_expressions.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1980.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1981"	"7"	"Chapter 7: Linear Equations in One Variable"	"1"	"07_linear_equations_one_variable.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1981.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1982"	"8"	"Chapter 8: Ratio and Proportion"	"1"	"08_ratio_and_proportion.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1982.json"	"PENDING"	"PENDING"
