"course_id"	"course_name"	"subject_bucket"	"course_session_id"	"session_order"	"session_title"	"pdf_count"	"sample_pdf"	"question_count"	"active_question_count"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1040"	"2"	"Chapter 2: ????? ???? (?????? ??????)"	"1"	"2_sahasi_neelu_sahasik_prasang.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1041"	"3"	"Chapter 3: ???? ?? ????? (???? ??????)"	"1"	"3_bakri_ka_aparadh_rochak_prasang.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1042"	"4"	"Chapter 4: ???????? ???? (?????)"	"1"	"4_swacchata_mahaan_kavita.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1043"	"5"	"Chapter 5: ????? (?????)"	"1"	"5_uphaar_kahani.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1044"	"6"	"Chapter 6: ????? (?????)"	"1"	"6_eidgah_kahani.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1045"	"7"	"Chapter 7: ???? ?? ?????? (?????)"	"1"	"7_diye_ka_abimaan_kavita.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1046"	"8"	"Chapter 8: ????? ???? (?????)"	"1"	"8_sachcha_saboot_kahani.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1047"	"9"	"Chapter 9: ???? (?????)"	"1"	"9_jharna_kavita.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1048"	"10"	"Chapter 10: ???????? (????)"	"1"	"10_hidayatein_patra.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1049"	"11"	"Chapter 11: ???????? ?? ??? (??????)"	"1"	"11_mount_abu_ki_sair_paryatan.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1050"	"12"	"Chapter 12: ???? ?? ?????? (?????)"	"1"	"12_chand_ka_kutta_kavita.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1051"	"13"	"Chapter 13: ???????????? : ???? ??????? ??? ???????? ???????? (????????? ??????)"	"1"	"13_bhaskaracharya_mahan_ganitagya_vigyanik_prasang.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1052"	"14"	"Chapter 14: ?????? ??? (??? ???)"	"1"	"14_olympic_khel_khel_jagat.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1053"	"15"	"Chapter 15: ????? ?? ????? (?????)"	"1"	"15_gopal_ka_bagicha_kahani.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1054"	"16"	"Chapter 16: ???? ???? ??? ?????? (?????)"	"1"	"16_dharti_mata_geet_sunati_kavita.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1055"	"17"	"Chapter 17: ?????? ???? (?????)"	"1"	"17_sunehri_machhli_kahani.pdf"	"0"	"0"
"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"HINDI"	"1056"	"18"	"Chapter 18: ??????? ????? (?????)"	"1"	"18_abraham_lincoln_jeevani.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"782"	"1"	"Chapter 1: Revision"	"1"	"33_1_revision.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"783"	"2"	"Chapter 2: Roman Numerals"	"1"	"33_2_roman_numerals.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"784"	"3"	"Chapter 3: Large Numbers"	"1"	"33_3_large_numbers.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"785"	"4"	"Chapter 4: Addition of Numbers"	"1"	"33_4_addition_of_numbers.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"786"	"5"	"Chapter 5: Subtraction of Numbers"	"1"	"33_5_subtraction_of_numbers.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"787"	"6"	"Chapter 6: Multiplication of Numbers"	"1"	"33_6_multiplication_of_numbers.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"788"	"7"	"Chapter 7: Division of Numbers"	"1"	"33_7_division_of_numbers.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"789"	"8"	"Chapter 8: Multiples and Factors"	"1"	"33_8_multiples_and_factors.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"790"	"9"	"Chapter 9: Highest Common Factor"	"1"	"33_9_highest_common_factor.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"791"	"10"	"Chapter 10: Lowest Common Multiple"	"1"	"33_10_lowest_common_multiple.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"792"	"11"	"Chapter 11: Fractional Numbers"	"1"	"33_11_fractional_numbers.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"793"	"12"	"Chapter 12: Addition and Subtraction of Fractions"	"1"	"33_12_addition_and_subtraction_of_fractions.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"794"	"13"	"Chapter 13: Multiplication and Division of Fractions"	"1"	"33_13_multiplication_and_division_of_fractions.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"795"	"14"	"Chapter 14: Number Patterns"	"1"	"33_14_number_patterns.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"796"	"15"	"Chapter 15: Decimals"	"1"	"33_15_decimals.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"797"	"16"	"Chapter 16: Unitary Method"	"1"	"33_16_unitary_method.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"798"	"17"	"Chapter 17: Measures of Length, Mass and Capacity"	"1"	"33_17_measures_of_length_mass_and_capacity.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"799"	"18"	"Chapter 18: Time"	"1"	"33_18_time.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"800"	"19"	"Chapter 19: Geometry"	"1"	"33_19_geometry.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"801"	"20"	"Chapter 20: Perimeter"	"1"	"33_20_perimeter.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"802"	"21"	"Chapter 21: Symmetry"	"1"	"33_21_symmetry.pdf"	"0"	"0"
"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"MATH"	"803"	"22"	"Chapter 22: Pictorial Representation of Data"	"1"	"33_22_pictorial_representation_of_data.pdf"	"0"	"0"
"34"	"CBSE Grade 5 Mathematics - Exam Prep"	"MATH"	"1085"	"15"	"Mid-Term Exam Prep"	"5"	"mid_term_mock_paper_1.pdf"	"0"	"0"
"34"	"CBSE Grade 5 Mathematics - Exam Prep"	"MATH"	"1163"	"16"	"GIIS Mid-Term Exam Prep"	"4"	"giis_midterm_exam_prep_set1.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"471"	"2"	"Session 1: Numbers"	"31"	"35_Exercise_1A_New_Practice_Set_1.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"472"	"3"	"Session 2: Playing with Numbers"	"18"	"35_session_2_playing_with_numbers.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"473"	"4"	"Session 3: HCF and LCM"	"1"	"35_session_3_hcf_and_lcm.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"474"	"5"	"Session 4: Whole Numbers"	"1"	"35_session_4_whole_numbers.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"475"	"6"	"Session 5: Integers"	"1"	"35_session_5_integers.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"476"	"7"	"Session 6: Fractions"	"1"	"35_session_6_fractions.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"477"	"8"	"Session 7: Decimals"	"1"	"35_session_7_decimals.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"478"	"10"	"Session 8: Introduction to Algebra"	"1"	"35_session_8_introduction_to_algebra.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"479"	"11"	"Session 9: Algebraic Equations"	"1"	"35_session_9_algebraic_equations.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"480"	"13"	"Session 10: Ratio and Proportion"	"1"	"35_session_10_ratio_and_proportion.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"481"	"15"	"Session 11: Basic Geometrical Ideas"	"1"	"35_session_11_basic_geometrical_ideas.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"482"	"16"	"Session 12: Understanding Elementary Shapes"	"1"	"35_session_12_understanding_elementary_shapes.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"483"	"17"	"Session 13: Three-Dimensional Shapes"	"1"	"35_session_13_three-dimensional_shapes.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"484"	"18"	"Session 14: Constructions"	"1"	"35_session_14_constructions.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"485"	"19"	"Session 15: Symmetry"	"1"	"35_session_15_symmetry.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"486"	"21"	"Session 16: Perimeter and Area"	"1"	"35_session_16_perimeter_and_area.pdf"	"0"	"0"
